"uf";"total_acidentes";"total_mortos";"total_pessoas";"total_veiculos";"media_pessoas";"media_veiculos"
"AC";"280";"29";"702";"524";"2.51";"1.87"
"AL";"629";"96";"1663";"1205";"2.64";"1.92"
"AM";"138";"26";"378";"274";"2.74";"1.99"
"AP";"169";"14";"491";"315";"2.91";"1.86"
"BA";"4108";"583";"11568";"8699";"2.82";"2.12"
"CE";"1302";"171";"3459";"2698";"2.66";"2.07"
"DF";"1011";"47";"2500";"1900";"2.47";"1.88"
"ES";"2642";"161";"6618";"5245";"2.5";"1.99"
"GO";"3196";"308";"8508";"6389";"2.66";"2"
"MA";"1262";"281";"3412";"2690";"2.7";"2.13"
"MG";"9570";"765";"25746";"19102";"2.69";"2"
"MS";"1654";"150";"4476";"3361";"2.71";"2.03"
"MT";"2636";"243";"7215";"6143";"2.74";"2.33"
"PA";"1117";"224";"3090";"2719";"2.77";"2.43"
"PB";"1978";"142";"4643";"3524";"2.35";"1.78"
"PE";"3013";"336";"7554";"5837";"2.51";"1.94"
"PI";"1490";"168";"3664";"2863";"2.46";"1.92"
"PR";"7630";"593";"20264";"15465";"2.66";"2.03"
"RJ";"6428";"330";"15765";"11864";"2.45";"1.85"
"RN";"1648";"111";"3828";"3069";"2.32";"1.86"
"RO";"1452";"102";"3979";"3193";"2.74";"2.2"
"RR";"142";"28";"495";"279";"3.49";"1.96"
"RS";"4899";"327";"13003";"9498";"2.65";"1.94"
"SC";"8186";"434";"20424";"16256";"2.49";"1.99"
"SE";"589";"51";"1402";"1101";"2.38";"1.87"
"SP";"4683";"221";"11621";"9259";"2.48";"1.98"
"TO";"677";"102";"1878";"1450";"2.77";"2.14"
