"uf";"acidente_fatal";"quantidade"
"AC";"Não";"251"
"AC";"Sim";"29"
"AL";"Não";"543"
"AL";"Sim";"86"
"AM";"Não";"119"
"AM";"Sim";"19"
"AP";"Não";"160"
"AP";"Sim";"9"
"BA";"Não";"3632"
"BA";"Sim";"476"
"CE";"Não";"1149"
"CE";"Sim";"153"
"DF";"Não";"968"
"DF";"Sim";"43"
"ES";"Não";"2497"
"ES";"Sim";"145"
"GO";"Não";"2949"
"GO";"Sim";"247"
"MA";"Não";"1026"
"MA";"Sim";"236"
"MG";"Não";"8923"
"MG";"Sim";"647"
"MS";"Não";"1518"
"MS";"Sim";"136"
"MT";"Não";"2432"
"MT";"Sim";"204"
"PA";"Não";"924"
"PA";"Sim";"193"
"PB";"Não";"1851"
"PB";"Sim";"127"
"PE";"Não";"2711"
"PE";"Sim";"302"
"PI";"Não";"1341"
"PI";"Sim";"149"
"PR";"Não";"7119"
"PR";"Sim";"511"
"RJ";"Não";"6122"
"RJ";"Sim";"306"
"RN";"Não";"1546"
"RN";"Sim";"102"
"RO";"Não";"1366"
"RO";"Sim";"86"
"RR";"Não";"119"
"RR";"Sim";"23"
"RS";"Não";"4624"
"RS";"Sim";"275"
"SC";"Não";"7812"
"SC";"Sim";"374"
"SE";"Não";"545"
"SE";"Sim";"44"
"SP";"Não";"4478"
"SP";"Sim";"205"
"TO";"Não";"594"
"TO";"Sim";"83"
