"br";"acidente_fatal";"quantidade"
"101";"Não";"12332"
"116";"Não";"10383"
"381";"Não";"3325"
"40";"Não";"3322"
"153";"Não";"2563"
"163";"Não";"2346"
"364";"Não";"2111"
"277";"Não";"2023"
"376";"Não";"1648"
"262";"Não";"1621"
"230";"Não";"1577"
"282";"Não";"1297"
"470";"Não";"1284"
"316";"Não";"1054"
"60";"Não";"1012"
"70";"Não";"1009"
"324";"Não";"886"
"280";"Não";"864"
"369";"Não";"855"
"290";"Não";"737"
"232";"Não";"731"
"50";"Não";"713"
"343";"Não";"695"
"101";"Sim";"682"
"20";"Não";"644"
"116";"Sim";"638"
"158";"Não";"611"
"386";"Não";"575"
"365";"Não";"529"
"135";"Não";"477"
"222";"Não";"475"
"104";"Não";"446"
"304";"Não";"424"
"10";"Não";"420"
"476";"Não";"384"
"285";"Não";"382"
"174";"Não";"371"
"493";"Não";"348"
"392";"Não";"344"
"393";"Não";"331"
"251";"Não";"301"
"235";"Não";"299"
"110";"Não";"288"
"226";"Não";"255"
"267";"Não";"251"
"465";"Não";"246"
"407";"Não";"239"
"242";"Não";"229"
"153";"Sim";"226"
"373";"Não";"204"
"428";"Não";"190"
"356";"Não";"185"
"316";"Sim";"182"
"40";"Sim";"180"
"163";"Sim";"173"
"381";"Sim";"171"
"230";"Sim";"168"
"0";"Não";"167"
"364";"Sim";"153"
"319";"Não";"150"
"262";"Sim";"148"
"423";"Não";"143"
"414";"Não";"141"
"459";"Não";"139"
"277";"Sim";"134"
"367";"Não";"134"
"80";"Não";"129"
"406";"Não";"120"
"408";"Não";"118"
"259";"Não";"116"
"376";"Sim";"114"
"287";"Não";"111"
"222";"Sim";"106"
"470";"Sim";"104"
"210";"Não";"102"
"293";"Não";"100"
"354";"Não";"100"
"232";"Sim";"99"
"452";"Não";"98"
"472";"Não";"96"
"10";"Sim";"86"
"448";"Não";"84"
"135";"Sim";"82"
"282";"Sim";"82"
"471";"Não";"76"
"70";"Sim";"75"
"405";"Não";"75"
"158";"Sim";"72"
"424";"Não";"72"
"365";"Sim";"71"
"60";"Sim";"69"
"480";"Não";"62"
"415";"Não";"61"
"435";"Não";"61"
"369";"Sim";"60"
"156";"Não";"57"
"104";"Sim";"56"
"324";"Sim";"56"
"20";"Sim";"55"
"469";"Não";"55"
"242";"Sim";"54"
"146";"Não";"52"
"463";"Não";"52"
"110";"Sim";"51"
"155";"Não";"48"
"386";"Sim";"48"
"343";"Sim";"47"
"402";"Não";"47"
"427";"Não";"46"
"272";"Não";"45"
"330";"Não";"45"
"174";"Sim";"44"
"407";"Sim";"44"
"487";"Não";"44"
"476";"Sim";"43"
"226";"Sim";"42"
"251";"Sim";"41"
"317";"Não";"41"
"349";"Não";"40"
"423";"Sim";"40"
"468";"Não";"40"
"50";"Sim";"38"
"280";"Sim";"38"
"418";"Não";"32"
"488";"Não";"32"
"495";"Não";"32"
"235";"Sim";"31"
"290";"Sim";"31"
"361";"Não";"31"
"401";"Não";"30"
"425";"Não";"30"
"285";"Sim";"28"
"373";"Sim";"27"
"393";"Sim";"26"
"467";"Não";"26"
"304";"Sim";"25"
"267";"Sim";"24"
"308";"Não";"24"
"410";"Não";"24"
"408";"Sim";"23"
"405";"Sim";"22"
"421";"Não";"22"
"429";"Não";"22"
"493";"Sim";"21"
"392";"Sim";"20"
"414";"Sim";"20"
"420";"Não";"20"
"424";"Sim";"19"
"432";"Não";"19"
"412";"Não";"18"
"80";"Sim";"17"
"402";"Sim";"16"
"459";"Sim";"15"
"319";"Sim";"14"
"317";"Sim";"12"
"349";"Sim";"12"
"428";"Sim";"12"
"210";"Sim";"10"
"293";"Sim";"10"
"308";"Sim";"10"
"356";"Sim";"10"
"412";"Sim";"10"
"419";"Não";"10"
"287";"Sim";"9"
"330";"Sim";"9"
"272";"Sim";"8"
"420";"Sim";"8"
"435";"Sim";"8"
"463";"Sim";"8"
"472";"Sim";"8"
"155";"Sim";"7"
"259";"Sim";"7"
"406";"Sim";"7"
"416";"Não";"7"
"452";"Sim";"7"
"416";"Sim";"6"
"427";"Sim";"6"
"429";"Sim";"6"
"447";"Não";"6"
"307";"Não";"5"
"359";"Não";"5"
"361";"Sim";"5"
"401";"Sim";"5"
"418";"Sim";"5"
"436";"Não";"5"
"468";"Sim";"5"
"471";"Sim";"5"
"487";"Sim";"5"
"432";"Sim";"4"
"465";"Sim";"4"
"146";"Sim";"3"
"367";"Sim";"3"
"403";"Não";"3"
"403";"Sim";"3"
"480";"Sim";"3"
"30";"Não";"2"
"30";"Sim";"2"
"122";"Não";"2"
"265";"Não";"2"
"354";"Sim";"2"
"410";"Sim";"2"
"415";"Sim";"2"
"425";"Sim";"2"
"447";"Sim";"2"
"448";"Sim";"2"
"485";"Não";"2"
"359";"Sim";"1"
"419";"Sim";"1"
"421";"Sim";"1"
"426";"Não";"1"
"430";"Não";"1"
"431";"Não";"1"
"437";"Não";"1"
"467";"Sim";"1"
"484";"Não";"1"
"488";"Sim";"1"
