"br";"total_acidentes"
"101";"13014"
"116";"11021"
"40";"3502"
"381";"3496"
"153";"2789"
"163";"2519"
"364";"2264"
"277";"2157"
"262";"1769"
"376";"1762"
"230";"1745"
"470";"1388"
"282";"1379"
"316";"1236"
"70";"1084"
"60";"1081"
"324";"942"
"369";"915"
"280";"902"
"232";"830"
"290";"768"
"50";"751"
"343";"742"
"20";"699"
"158";"683"
"386";"623"
"365";"600"
"222";"581"
"135";"559"
"10";"506"
"104";"502"
"304";"449"
"476";"427"
"174";"415"
"285";"410"
"493";"369"
"392";"364"
"393";"357"
"251";"342"
"110";"339"
"235";"330"
"226";"297"
"407";"283"
"242";"283"
"267";"275"
"465";"250"
"373";"231"
"428";"202"
"356";"195"
"423";"183"
"0";"167"
"319";"164"
"414";"161"
"459";"154"
"80";"146"
"408";"141"
"367";"137"
"406";"127"
"259";"123"
"287";"120"
"210";"112"
"293";"110"
"452";"105"
"472";"104"
"354";"102"
"405";"97"
"424";"91"
"448";"86"
"471";"81"
"435";"69"
"480";"65"
"415";"63"
"402";"63"
"463";"60"
"156";"57"
"469";"55"
"155";"55"
"146";"55"
"330";"54"
"317";"53"
"272";"53"
"427";"52"
"349";"52"
"487";"49"
"468";"45"
"418";"37"
"361";"36"
"401";"35"
"308";"34"
"488";"33"
"495";"32"
"425";"32"
"429";"28"
"420";"28"
"412";"28"
"467";"27"
"410";"26"
"432";"23"
"421";"23"
"416";"13"
"419";"11"
"447";"8"
"403";"6"
"359";"6"
"436";"5"
"307";"5"
"30";"4"
"485";"2"
"265";"2"
"122";"2"
"484";"1"
"437";"1"
"431";"1"
"430";"1"
"426";"1"
